Drug	Synonym	Main Indications	WHO	Off-Patent	Vitro	Vivo	Cases	Obs.	Trials	Human	Targets	Date Update	DrugBank	PubChem	PubMed	
Risperidone		Psychotic disorders	Yes	Yes	Yes	Yes	No	No	No	No	HTR2A; DRD2; ADRA1B; ADRA2B; ADRA1A; ADRA2C; HRH1; HTR2C; HTR1D; HTR1A; HTR7; DRD1;	29/01/2018	https://www.drugbank.ca/drugs/DB00734	https://pubchem.ncbi.nlm.nih.gov/compound/106266-06-2	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Risperidone)+AND+cancer	
Ritonavir		Anti-retroviral	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	pol; NR1I2;	10/08/2021	https://www.drugbank.ca/drugs/DB00503	https://pubchem.ncbi.nlm.nih.gov/compound/155213-67-5	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Ritonavir)+AND+cancer	
Roflumilast		COPD	No	Yes	Yes	Yes	No	No	Yes	Yes	PDE4D; PDE4A; PDE4B; PDE4C;	10/08/2021	https://www.drugbank.ca/drugs/DB01656	https://pubchem.ncbi.nlm.nih.gov/compound/162401-32-3	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Roflumilast)+AND+cancer	
Rosiglitazone		Diabetes	No	Yes	Yes	Yes	Yes	No	Yes	Yes	PPARG; ACSL4; PPARA; PPARD; RXRA; RXRB; RXRG;	18/03/2021	https://www.drugbank.ca/drugs/DB00412	https://pubchem.ncbi.nlm.nih.gov/compound/122320-73-4	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Rosiglitazone)+AND+cancer	
Rosuvastatin		Hyperlipidemia	No	Yes	Yes	Yes	No	No	Yes	Yes	HMGCR; ITGAL;	30/01/2018	https://www.drugbank.ca/drugs/DB01098	https://pubchem.ncbi.nlm.nih.gov/compound/287714-41-4	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Rosuvastatin)+AND+cancer	
Rotavirus vaccine		Active immunization against rotavirus infection	Yes	N/A	Yes	Yes	No	No	No	No		24/06/2021	https://www.drugbank.ca/drugs/DB10276	Not found in PubChem	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Rotavirus+vaccine)+AND+cancer	
Roxatidine		Antacid	No	Yes	Yes	Yes	No	No	No	No		17/02/2020	Not found in DrugBank	Not found in PubChem	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Roxatidine)+AND+cancer	
Roxithromycin		Bacterial infections	No	Yes	Yes	Yes	Yes	No	No	Yes	rplJ; ABCB1;	14/05/2018	https://www.drugbank.ca/drugs/DB00778	https://pubchem.ncbi.nlm.nih.gov/compound/80214-83-1	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Roxithromycin)+AND+cancer	
Selumetinib		NF1-associated plexiform neurofibromas	No	No	Yes	Yes	Yes	No	Yes	Yes	MAP2K1; MAP2K2;	25/10/2021	https://www.drugbank.ca/drugs/DB11689	https://pubchem.ncbi.nlm.nih.gov/compound/606143-52-6	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Selumetinib)+AND+cancer	
Sertraline		Depression	No	Yes	Yes	Yes	No	No	Yes	Yes	SLC6A4; SLC6A3; PGRMC1; SLC6A2; SLC29A4;	29/01/2018	https://www.drugbank.ca/drugs/DB01104	https://pubchem.ncbi.nlm.nih.gov/compound/79617-96-2	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Sertraline)+AND+cancer	
Sildenafil		Erectile dysfunction	No	Yes	Yes	Yes	Yes	No	Yes	Yes	PDE5A; PDE6G; PDE6H;	29/01/2018	https://www.drugbank.ca/drugs/DB00203	https://pubchem.ncbi.nlm.nih.gov/compound/139755-83-2	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Sildenafil)+AND+cancer	
Simvastatin		Hyperlipidemia	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	HMGCR; ITGAL; HDAC2;	30/01/2018	https://www.drugbank.ca/drugs/DB00641	https://pubchem.ncbi.nlm.nih.gov/compound/79902-63-9	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Simvastatin)+AND+cancer	
Sirolimus	Rapamycin	Inhibit organ transplant rejection	No	Yes	Yes	Yes	Yes	No	Yes	Yes	MTOR;	31/01/2018	https://www.drugbank.ca/drugs/DB00877	https://pubchem.ncbi.nlm.nih.gov/compound/53123-88-9	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Sirolimus+OR+Rapamycin)+AND+cancer	
Sitagliptin		Diabetes	No	No	Yes	Yes	No	Yes	Yes	Yes	DPP4;	19/01/2021	https://www.drugbank.ca/drugs/DB01261	https://pubchem.ncbi.nlm.nih.gov/compound/486460-32-6	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Sitagliptin)+AND+cancer	
Smallpox vaccine		Active immunization against smallpox infection	No	N/A	No	No	No	Yes	Yes	Yes		24/06/2021	Not found in DrugBank	Not found in PubChem	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Smallpox+vaccine)+AND+cancer	
Sodium Aurothiomalate		Active progressive rheumatoid arthritis	No	Yes	Yes	Yes	No	No	Yes	Yes		12/03/2018	https://www.drugbank.ca/drugs/DB09276	https://pubchem.ncbi.nlm.nih.gov/compound/12244-57-4	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Sodium+Aurothiomalate)+AND+cancer	
Sodium Bicarbonate		Relief of wind and griping pains	No	Yes	Yes	Yes	Yes	No	Yes	Yes		30/01/2018	https://www.drugbank.ca/drugs/DB01390	https://pubchem.ncbi.nlm.nih.gov/compound/144-55-8	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Sodium+Bicarbonate)+AND+cancer	
Spironolactone		Congestive cardiac failure, Hepatic cirrhosis with ascites and oedema, Malignant ascites, Nephrotic syndrome, Diagnosis and treatment of primary aldosteronism.	Yes	Yes	Yes	Yes	No	No	Yes	Yes	NR3C2; AR; PGR; NR3C1; CYP11B2; CYP17A1; SRD5A1; SHBG; CACNG1; NR1I2;	09/11/2017	https://www.drugbank.ca/drugs/DB00421	https://pubchem.ncbi.nlm.nih.gov/compound/52-01-7	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Spironolactone)+AND+cancer	
Sulfasalazine		Rheumatoid arthritis; ulcerative colitis; active Crohn's Disease.	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	ALOX5; PTGS2; PTGS1; PPARG; CHUK; IKBKB; SLC7A11; ACAT1; TBXAS1; PLA2G1B;	09/11/2017	https://www.drugbank.ca/drugs/DB00795	https://pubchem.ncbi.nlm.nih.gov/compound/599-79-1	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Sulfasalazine)+AND+cancer	
Sulindac		Relief of signs and symptoms of osteoarthritis, rheumatoid arthritis, ankylosing spondylitis, acute painful shoulder (acute subacromial bursitis/supraspinatus tendinitis), and acute gouty arthritis.	No	Yes	Yes	Yes	No	Yes	Yes	Yes	PTGS2; PTGS1; AKR1B1; MAPK3; PPARD; PTGDR2; AKR1B10;	09/11/2017	https://www.drugbank.ca/drugs/DB00605	https://pubchem.ncbi.nlm.nih.gov/compound/38194-50-2	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Sulindac)+AND+cancer	
Suramin		African sleeping sickness	No	Unclear	Yes	Yes	Yes	No	Yes	Yes	P2RY2; SIRT5; FSHR; RYR1; F2; PLA2G2A;	19/03/2019	https://www.drugbank.ca/drugs/DB04786	https://pubchem.ncbi.nlm.nih.gov/compound/145-63-1	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Suramin)+AND+cancer	
Tacalcitol		Plaque psoriasis	No	Unclear	Yes	Yes	No	No	No	No		19/03/2020	https://www.drugbank.ca/drugs/DB13689	https://pubchem.ncbi.nlm.nih.gov/compound/57333-96-7	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Tacalcitol)+AND+cancer	
Tadalafil		Erectile dysfunction	No	Yes	Yes	Yes	No	No	Yes	Yes	PDE5A; PDE11A; PDE6G;	09/11/2017	https://www.drugbank.ca/drugs/DB00820	https://pubchem.ncbi.nlm.nih.gov/compound/171596-29-5	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Tadalafil)+AND+cancer	
Tegaserod		IBS with constipation	No	Yes	Yes	Yes	No	No	No	No	HTR4; HTR2B; HTR2C; HTR2A;	10/09/2020	https://www.drugbank.ca/drugs/DB01079	https://pubchem.ncbi.nlm.nih.gov/compound/145158-71-0	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Tegaserod)+AND+cancer	
Telmisartan		Hypertension, cardiovascular prevention	Yes	Yes	Yes	Yes	No	Yes	No	Yes	AGTR1; PPARG;	09/11/2017	https://www.drugbank.ca/drugs/DB00966	https://pubchem.ncbi.nlm.nih.gov/compound/144701-48-4	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Telmisartan)+AND+cancer	
Terbinafine		Treatment of tinea pedis (athlete's foot), tinea cruris (dhobie (jock) itch) and tinea corporis (ringworm)	Yes	Yes	Yes	Yes	No	No	Yes	Yes	ERG1; SQLE;	09/11/2017	https://www.drugbank.ca/drugs/DB00857	https://pubchem.ncbi.nlm.nih.gov/compound/91161-71-6	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Terbinafine)+AND+cancer	
Teriflunomide		Relapsing multiple sclerosis	No	Yes	Yes	Yes	No	No	No	No	DHODH;	17/02/2020	https://www.drugbank.ca/drugs/DB08880	https://pubchem.ncbi.nlm.nih.gov/compound/163451-81-8	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Teriflunomide)+AND+cancer	
Tetanus vaccine	Tetanus toxoid, DTP vaccine, DT vaccine, Td vaccine	Active immunization against tetanus infection	Yes	N/A	Yes	Yes	Yes	Yes	Yes	Yes		24/06/2021	Not found in DrugBank	Not found in PubChem	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Tetanus+vaccine+OR+Tetanus+toxoid+OR++DTP+vaccine+OR++DT+vaccine+OR++Td+vaccine)+AND+cancer	
Thiabendazole		Parasitic infection	No	Unclear	Yes	Yes	No	No	No	No	frdA;	09/11/2017	https://www.drugbank.ca/drugs/DB00730	https://pubchem.ncbi.nlm.nih.gov/compound/148-79-8	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Thiabendazole)+AND+cancer	
Thioridazine		Psychotic disorders	No	Yes	Yes	Yes	Yes	No	Yes	Yes	DRD2; DRD1; ADRA1A; ADRA1B; HTR2A; KCNH2;	09/08/2021	https://www.drugbank.ca/drugs/DB00679	https://pubchem.ncbi.nlm.nih.gov/compound/50-52-2	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Thioridazine)+AND+cancer	
Ticagrelor		Prevention of atherothrombotic events in combo with ASA	No	Yes	Yes	Yes	No	No	Yes	Yes	P2RY12;	09/08/2021	https://www.drugbank.ca/drugs/DB08816	https://pubchem.ncbi.nlm.nih.gov/compound/274693-27-5	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Ticagrelor)+AND+cancer	
Ticlopidine		Prevent strokes, blood loss	No	Yes	Yes	Yes	Yes	No	Yes	Yes	P2RY12;	09/11/2017	https://www.drugbank.ca/drugs/DB00208	https://pubchem.ncbi.nlm.nih.gov/compound/55142-85-3	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Ticlopidine)+AND+cancer	
Tigecycline		Infections	No	Yes	Yes	Yes	No	No	Yes	Yes	rpsI; rpsL; rpsM; rpsN; rpsS;	09/08/2021	https://www.drugbank.ca/drugs/DB00560	https://pubchem.ncbi.nlm.nih.gov/compound/220620-09-7	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Tigecycline)+AND+cancer	
Timolol		Hypertension, ischemic heart disease, migraine	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	ADRB1; ADRB2; E;	09/08/2021	https://www.drugbank.ca/drugs/DB00373	https://pubchem.ncbi.nlm.nih.gov/compound/26839-75-8	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Timolol)+AND+cancer	
Tinzaparin		Prophylaxis of venous thromboembolism	No	No	Yes	Yes	No	No	Yes	Yes	SERPINC1; ITGA4; CXCL12;	03/11/2017	https://www.drugbank.ca/drugs/DB06822	https://pubchem.ncbi.nlm.nih.gov/compound/9041-08-1	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Tinzaparin)+AND+cancer	
Tioconazole		Parasitic infection	No	Yes	Yes	Yes	No	No	No	No	ERG11; CYP51A1;	23/01/2018	https://www.drugbank.ca/drugs/DB01007	https://pubchem.ncbi.nlm.nih.gov/compound/65899-73-2	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Tioconazole)+AND+cancer	
Tocilizumab		Rheumatoid arthritis	No	Yes	Yes	Yes	No	No	Yes	Yes	IL6R;	10/08/2021	https://www.drugbank.ca/drugs/DB06273	https://pubchem.ncbi.nlm.nih.gov/compound/375823-41-9	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Tocilizumab)+AND+cancer	
Tofacitinib		Rheumatoid arthritis	No	No	Yes	Yes	Yes	No	Yes	Yes	JAK1; JAK2; JAK3; TYK2;	10/08/2021	https://www.drugbank.ca/drugs/DB08895	https://pubchem.ncbi.nlm.nih.gov/compound/477600-75-2	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Tofacitinib)+AND+cancer	
Tolfenamic Acid	Tolfenamate	Migraine	No	Yes	Yes	Yes	No	No	No	No	PTGS1; PTGS2;	03/11/2017	https://www.drugbank.ca/drugs/DB09216	https://pubchem.ncbi.nlm.nih.gov/compound/13710-19-5	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Tolfenamic+Acid+OR+Tolfenamate)+AND+cancer	
Topiramate		Epilepsy (tonic clonic seizure)	No	Yes	Yes	Yes	No	No	No	No	GABRA1; SCN1A; GRIK1; CA2; CA4; CA1; CA3; CACNA1C; CACNA1E;	12/06/2017	https://www.drugbank.ca/drugs/DB00273	https://pubchem.ncbi.nlm.nih.gov/compound/97240-79-4	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Topiramate)+AND+cancer	
Tranexamic Acid		Blood loss - fibrinolysis	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	PLG;	03/11/2017	https://www.drugbank.ca/drugs/DB00302	https://pubchem.ncbi.nlm.nih.gov/compound/1197-18-8	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Tranexamic+Acid)+AND+cancer	
Tranilast		Bronchial asthma	No	Yes	Yes	Yes	No	No	Yes	Yes	HPGDS;	02/03/2020	https://www.drugbank.ca/drugs/DB07615	https://pubchem.ncbi.nlm.nih.gov/compound/53902-12-8	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Tranilast)+AND+cancer	
Tranylcypromine		Depression	No	Yes	Yes	Yes	No	No	Yes	Yes	MAOB; MAOA;	13/08/2021	https://www.drugbank.ca/drugs/DB00752	https://pubchem.ncbi.nlm.nih.gov/compound/155-09-9	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Tranylcypromine)+AND+cancer	
Trazodone		Depression, anxiety	No	No	Yes	Yes	No	No	No	No	HTR2A; HTR2C; SLC6A4; HTR1A; HRH1; ADRA1A; ADRA2A; Htr2c;	03/11/2017	https://www.drugbank.ca/drugs/DB00656	https://pubchem.ncbi.nlm.nih.gov/compound/19794-93-5	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Trazodone)+AND+cancer	
Triamterene		Diuretic, oedema in cardiac failure, cirrhosis of the liver or the nephrotic syndrome, and in that associated with corticosteroid treatment	No	Yes	Yes	Yes	No	No	No	No	SCNN1G; SCNN1A; SCNN1B; SCNN1D;	03/11/2017	https://www.drugbank.ca/drugs/DB00384	https://pubchem.ncbi.nlm.nih.gov/compound/396-01-0	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Triamterene)+AND+cancer	
Trientine	Triethylenetetramine	Wilson's disease	No	Yes	Yes	Yes	No	No	Yes	Yes		23/06/2021	https://www.drugbank.ca/drugs/DB06824	https://pubchem.ncbi.nlm.nih.gov/compound/112-24-3	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Trientine+OR+Triethylenetetramine)+AND+cancer	
Trifluoperazine		Psychotic disorders	No	Yes	Yes	Yes	No	No	Yes	Yes	DRD2; CALY; ADRA1A; CALM1; TNNC1; S100A4;	17/08/2021	https://www.drugbank.ca/drugs/DB00831	https://pubchem.ncbi.nlm.nih.gov/compound/117-89-5	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Trifluoperazine)+AND+cancer	
Trimebutine		Irritable bowel syndrome	No	Unclear	Yes	Yes	No	No	No	No	OPRM1; CACNA1C; KCNMA1; CACNA1G; CHRM1; CHRM2; CHRM3; CHRM4;	01/09/2021	https://www.drugbank.ca/drugs/DB09089	https://pubchem.ncbi.nlm.nih.gov/compound/39133-31-8	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Trimebutine)+AND+cancer	
Trimetazidine		Angina pectoris	No	Yes	Yes	Yes	No	No	Yes	Yes	ACAA2;	09/08/2018	https://www.drugbank.ca/drugs/DB09069	https://pubchem.ncbi.nlm.nih.gov/compound/5011-34-7	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Trimetazidine)+AND+cancer	
Typhoid vaccine	Typhoid paratyphoid vaccine, paratyphoid vaccine	Active immunization against typhoid infection	Yes	N/A	Yes	Yes	No	No	Yes	Yes		24/06/2021	https://www.drugbank.ca/drugs/DB14022	Not found in PubChem	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Typhoid+vaccine+OR+Typhoid+paratyphoid+vaccine+OR++paratyphoid+vaccine)+AND+cancer	
Ulinastatin		Severe sepsis & pancreatitis	No	Unclear	Yes	Yes	No	No	Yes	Yes		03/11/2017	https://www.drugbank.ca/drugs/DB12038	https://pubchem.ncbi.nlm.nih.gov/compound/80449-31-6	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Ulinastatin)+AND+cancer	
Ursodeoxycholic Acid	UCDA, Ursodiol	Gallstones, primary biliary cirrhosis	No	Yes	Yes	Yes	No	Yes	Yes	Yes	AKR1C2; NR1H4;	28/08/2019	https://www.drugbank.ca/drugs/DB01586	https://pubchem.ncbi.nlm.nih.gov/compound/128-13-2	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Ursodeoxycholic+Acid+OR+UCDA+OR++Ursodiol)+AND+cancer	
Valganciclovir		Cytomegalovirus in HIV/AIDS	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes		29/07/2020	https://www.drugbank.ca/drugs/DB01610	https://pubchem.ncbi.nlm.nih.gov/compound/175865-60-8	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Valganciclovir)+AND+cancer	
Valproic Acid	Valproate	Epilepsy	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	ACADSB; HDAC9; OGDH; ALDH5A1; SCN1A; HDAC2; PPARA; PPARD; PPARG;	03/11/2017	https://www.drugbank.ca/drugs/DB00313	https://pubchem.ncbi.nlm.nih.gov/compound/99-66-1	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Valproic+Acid+OR+Valproate)+AND+cancer	
Valsartan		Hypertension, myocardial infarction, heart failure	No	Yes	Yes	Yes	No	Yes	No	Yes	AGTR1;	03/11/2017	https://www.drugbank.ca/drugs/DB00177	https://pubchem.ncbi.nlm.nih.gov/compound/137862-53-4	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Valsartan)+AND+cancer	
Vardenafil		Erectile dysfunction	No	Yes	Yes	Yes	No	No	Yes	Yes	PDE5A; PDE6G; PDE6H;	09/08/2021	https://www.drugbank.ca/drugs/DB00862	https://pubchem.ncbi.nlm.nih.gov/compound/224785-90-4	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Vardenafil)+AND+cancer	
Varicella vaccine	Chickenpox vaccine, VZV vaccine, shingles vaccine, HHV-3 vaccine, HHV3 vaccine	Active immunization against VZV infection	Yes	N/A	No	No	No	No	Yes	Yes		24/06/2021	Not found in DrugBank	Not found in PubChem	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Varicella+vaccine+OR+Chickenpox+vaccine+OR++VZV+vaccine+OR++shingles+vaccine+OR++HHV-3+vaccine+OR++HHV3+vaccine)+AND+cancer	
Verapamil		Hypertension, angina pectoris	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	CACNA1C; CACNA1B; CACNA1A; KCNJ11; CACNA1G; CACNA1H; KCNH2; SLC6A4; ADRA1A; ADRA1B; ADRA1D;	09/08/2021	https://www.drugbank.ca/drugs/DB00661	https://pubchem.ncbi.nlm.nih.gov/compound/52-53-9	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Verapamil)+AND+cancer	
Verteporfin		Exudative age-related macular degeneration	No	No	Yes	Yes	Yes	No	Yes	Yes		09/08/2018	https://www.drugbank.ca/drugs/DB00460	https://pubchem.ncbi.nlm.nih.gov/compound/129497-78-5	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Verteporfin)+AND+cancer	
Warfarin		Prophylaxis of systemic embolism, of venous thrombosis and pulmonary embolism.	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	VKORC1; NR1I2;	04/01/2018	https://www.drugbank.ca/drugs/DB00682	https://pubchem.ncbi.nlm.nih.gov/compound/81-81-2	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Warfarin)+AND+cancer	
Yellow Fever vaccine		Active immunization against yellow fever infection	Yes	N/A	Yes	Yes	No	Yes	No	Yes		24/06/2021	https://www.drugbank.ca/drugs/DB10805	Not found in PubChem	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Yellow+Fever+vaccine)+AND+cancer	
Zidovudine	Azidothymidine	Anti-retroviral	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	pol; TERT;	22/02/2018	https://www.drugbank.ca/drugs/DB00495	https://pubchem.ncbi.nlm.nih.gov/compound/30516-87-1	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Zidovudine+OR+Azidothymidine)+AND+cancer	
Zileuton		Asthma prophylaxis	No	Yes	Yes	Yes	No	No	Yes	Yes	ALOX5;	22/01/2019	https://www.drugbank.ca/drugs/DB00744	https://pubchem.ncbi.nlm.nih.gov/compound/111406-87-2	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Zileuton)+AND+cancer	
Zoledronic Acid	Zoledronate	Osteoporosis, prophylaxis of skeletal fractures and treat hypercalcemia of malignancy, treat pain from bone metastases	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	FDPS; GGPS1;	03/11/2017	https://www.drugbank.ca/drugs/DB00399	https://pubchem.ncbi.nlm.nih.gov/compound/118072-93-8	https://www.ncbi.nlm.nih.gov/pubmed/?term=(Zoledronic+Acid+OR+Zoledronate)+AND+cancer	

